taskId,taskName,score,performanceClass,performance,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
6,gridshot,56218,SparData,"{'accB': [77.0, 89.0, 90.0, 87.0, 100.0, 80.0, 67.0, 100.0], 'rtB': [361.2081583196467, 310.2518273178411, 299.95878188674516, 330.3952398055639, 280.4503936767578, 351.43161392211914, 412.5854797363281, 327.7650451660156], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 85.30806, 'accB0': 77.0, 'accB1': 89.0, 'accB2': 90.0, 'accB3': 87.0, 'accB4': 100.0, 'accB5': 80.0, 'accB6': 67.0, 'accB7': 100.0, 'rtTotal': 326.1184512668186, 'rtB0': 361.2081583196467, 'rtB1': 310.2518273178411, 'rtB2': 299.95878188674516, 'rtB3': 330.3952398055639, 'rtB4': 280.4503936767578, 'rtB5': 351.43161392211914, 'rtB6': 412.5854797363281, 'rtB7': 327.7650451660156, 'targetsTotal': 183, 'shotsTotal': 211, 'killsPerSec': 3.004653, 'killTotal': 180}",2023-05-08T21:05:42,85.30806,326.1184513,183,211,3.004653,180,,
10,switchtrack,51485,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 26.0, 'avgTimeOn': 130.053116, 'maxTimeOn': 232.000031, 'avgTimeOff': 374.3157, 'maxTimeOff': 920.0004, 'missUp': 118, 'missUpLeft': 196, 'missUpRight': 142, 'missLeft': 802, 'missRight': 668, 'missDown': 0, 'missDownLeft': 164, 'missDownRight': 236}",2024-04-08T12:14:07,26,130.053116,232.000031,374.3157,920.0004,118,,
11,microshot,51224,SparData,"{'accB': [85.0, 80.0, 95.0, 100.0, 89.0, 94.0, 81.0, 90.0], 'rtB': [379.37440708705356, 428.8372012867647, 373.1145260459498, 372.8817952473958, 487.3708383660568, 453.06068151137407, 478.23923683166504, 462.3413680227179], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 89.03226, 'accB0': 85.0, 'accB1': 80.0, 'accB2': 95.0, 'accB3': 100.0, 'accB4': 89.0, 'accB5': 94.0, 'accB6': 81.0, 'accB7': 90.0, 'rtTotal': 430.2224009122781, 'rtB0': 379.37440708705356, 'rtB1': 428.8372012867647, 'rtB2': 373.1145260459498, 'rtB3': 372.8817952473958, 'rtB4': 487.3708383660568, 'rtB5': 453.06068151137407, 'rtB6': 478.23923683166504, 'rtB7': 462.3413680227179, 'targetsTotal': 140, 'shotsTotal': 155, 'killsPerSec': 2.30263376, 'killTotal': 138}",2024-04-08T12:17:58,89.03226,430.2224009,140,155,2.30263376,138,,
12,gridshot,19186,SparData,"{'accB': [80.0, 91.0, 94.0, 83.0, 100.0, 100.0, 100.0, 100.0], 'rtB': [869.3479614257812, 786.0457824707031, 781.5703430175781, 795.6085319519043, 767.969970703125, 704.25146484375, 950.8203125, 316.1272888183594], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 87.95181, 'accB0': 80.0, 'accB1': 91.0, 'accB2': 94.0, 'accB3': 83.0, 'accB4': 100.0, 'accB5': 100.0, 'accB6': 100.0, 'accB7': 100.0, 'rtTotal': 790.486147318801, 'rtB0': 869.3479614257812, 'rtB1': 786.0457824707031, 'rtB2': 781.5703430175781, 'rtB3': 795.6085319519043, 'rtB4': 767.969970703125, 'rtB5': 704.25146484375, 'rtB6': 950.8203125, 'rtB7': 316.1272888183594, 'targetsTotal': 76, 'shotsTotal': 83, 'killsPerSec': 1.21836817, 'killTotal': 73}",2024-04-08T12:20:20,87.95181,790.4861473,76,83,1.21836817,73,,
13,microshot,52297,SparData,"{'accB': [74.0, 76.0, 71.0, 87.0, 72.0, 72.0, 71.0, 78.0], 'rtB': [343.01201205783417, 352.5989792767693, 407.50409952799475, 327.644751739502, 449.03916850842927, 425.6398981267756, 424.6380893482881, 430.0394125545726], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 75.1243744, 'accB0': 74.0, 'accB1': 76.0, 'accB2': 71.0, 'accB3': 87.0, 'accB4': 72.0, 'accB5': 72.0, 'accB6': 71.0, 'accB7': 78.0, 'rtTotal': 395.3921820027938, 'rtB0': 343.01201205783417, 'rtB1': 352.5989792767693, 'rtB2': 407.50409952799475, 'rtB3': 327.644751739502, 'rtB4': 449.03916850842927, 'rtB5': 425.6398981267756, 'rtB6': 424.6380893482881, 'rtB7': 430.0394125545726, 'targetsTotal': 152, 'shotsTotal': 201, 'killsPerSec': 2.52067041, 'killTotal': 151}",2024-04-10T18:52:38,75.1243744,395.392182,152,201,2.52067041,151,,
14,strafetrack,72016,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 55.0, 'avgTimeOn': 250.125031, 'maxTimeOn': 1320.00122, 'avgTimeOff': 199.937454, 'maxTimeOff': 551.9997, 'missUp': 2, 'missUpLeft': 9, 'missUpRight': 10, 'missLeft': 1119, 'missRight': 1282, 'missDown': 0, 'missDownLeft': 2, 'missDownRight': 0}",2024-04-10T18:54:02,55,250.125031,1320.00122,199.937454,551.9997,2,,
15,switchtrack,73281,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 33.0, 'avgTimeOn': 123.221489, 'maxTimeOn': 415.999725, 'avgTimeOff': 257.493256, 'maxTimeOff': 848.0003, 'missUp': 54, 'missUpLeft': 248, 'missUpRight': 146, 'missLeft': 874, 'missRight': 730, 'missDown': 90, 'missDownLeft': 40, 'missDownRight': 112}",2024-04-10T18:55:20,33,123.221489,415.999725,257.493256,848.0003,54,,
16,gridshot,60621,SparData,"{'accB': [76.0, 84.0, 87.0, 84.0, 100.0, 100.0, 100.0, 100.0], 'rtB': [338.8050598144532, 289.60021194146606, 291.29106363436074, 311.2246104914967, 222.67340850830078, 283.34678649902344, 244.75848388671875, 253.36656951904297], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 83.2618, 'accB0': 76.0, 'accB1': 84.0, 'accB2': 87.0, 'accB3': 84.0, 'accB4': 100.0, 'accB5': 100.0, 'accB6': 100.0, 'accB7': 100.0, 'rtTotal': 304.1281060287634, 'rtB0': 338.8050598144532, 'rtB1': 289.60021194146606, 'rtB2': 291.29106363436074, 'rtB3': 311.2246104914967, 'rtB4': 222.67340850830078, 'rtB5': 283.34678649902344, 'rtB6': 244.75848388671875, 'rtB7': 253.36656951904297, 'targetsTotal': 197, 'shotsTotal': 233, 'killsPerSec': 3.23843431, 'killTotal': 194}",2024-04-10T18:56:29,83.2618,304.128106,197,233,3.23843431,194,,
