taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
78,microshot,53374,SparData,2024-04-09T17:21:39,90.44586,420.44444661744905,142.0,157.0,2.37031579,142.0,,
79,strafetrack,24219,TrackData,2024-04-09T17:23:03,28.0,146.545456,1088.00073,374.836273,2703.99365,3935.0,,
80,gridshot,27382,SparData,2024-04-09T17:24:17,84.0336151,590.5515679931642,103.0,119.0,1.66931176,100.0,,
81,microshot,23772,SparData,2024-04-09T17:25:26,90.2439,786.6114364925184,76.0,82.0,1.23522711,74.0,,
82,switchtrack,31281,TrackData,2024-04-09T17:26:40,19.0,112.000008,232.000031,482.000031,2535.99561,2498.0,,
83,gridshot,27078,SparData,2024-04-09T17:28:11,81.96721,591.812985687256,103.0,122.0,1.669286,100.0,,
84,switchtrack,30263,TrackData,2024-04-09T17:29:22,19.0,103.683174,232.000031,464.950562,1848.00232,3610.0,,
85,strafetrack,19121,TrackData,2024-04-09T17:30:30,25.0,123.499985,856.0003,386.785645,1352.00134,4726.0,,
86,microshot,24441,SparData,2024-04-09T17:31:37,81.4433,747.1958354949949,82.0,97.0,1.3186928,79.0,,
87,gridshot,37111,SparData,2024-04-09T17:34:26,79.87805,452.0496196018833,134.0,164.0,2.18666053,131.0,,
88,switchtrack,43394,TrackData,2024-04-09T17:35:34,24.0,85.1579,240.000031,290.526276,1072.00073,4322.0,,
89,strafetrack,37171,TrackData,2024-04-09T17:36:42,37.0,141.027039,1336.00122,245.621567,872.000366,3835.0,,
90,microshot,39856,SparData,2024-04-09T17:37:56,88.28125,523.4696067676208,114.0,128.0,1.88623881,113.0,,
91,strafetrack,14130,TrackData,2024-04-09T17:39:05,20.0,110.588234,952.0005,455.921539,1560.00171,5547.0,,
92,gridshot,18588,SparData,2024-04-09T17:40:19,82.22222,792.7040058857687,77.0,90.0,1.23523736,74.0,,
93,microshot,16822,SparData,2024-04-09T17:41:28,80.55556,901.5812918923117,66.0,72.0,0.9681971,58.0,,
94,switchtrack,18395,TrackData,2024-04-09T17:42:35,14.0,71.2233047,232.000031,474.951538,1464.00159,5836.0,,
95,microshot,20013,SparData,2024-04-09T17:44:09,87.83784,850.4836035592217,70.0,74.0,1.08503675,65.0,,
96,strafetrack,21438,TrackData,2024-04-09T17:45:17,26.0,167.377762,952.0005,474.222229,2088.00146,4740.0,,
97,gridshot,21424,SparData,2024-04-09T17:46:28,92.94118,748.7753649361528,82.0,85.0,1.3186729,79.0,,
98,switchtrack,18394,TrackData,2024-04-09T17:47:36,14.0,79.74194,232.000031,515.785034,2064.00171,4948.0,,
99,strafetrack,42655,TrackData,2024-04-09T18:58:51,40.0,185.806458,1176.001,276.967682,1288.00122,3340.0,,
100,gridshot,39125,SparData,2024-04-09T19:00:00,86.27451,447.1738559838499,135.0,153.0,2.203462,132.0,,
101,microshot,40425,SparData,2024-04-09T19:01:12,87.1212158,517.6120951776923,116.0,132.0,1.9197098,115.0,,
