index,taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
4,6,gridshot,56218,SparData,2023-05-08T21:05:42,85.30806,326.1184513,183,211,3.004653,180,1,MK
8,10,switchtrack,51485,TrackData,2024-04-08T12:14:07,26,130.053116,232.000031,374.3157,920.0004,2326,1,MK
9,11,microshot,51224,SparData,2024-04-08T12:17:58,89.03226,430.2224009,140,155,2.30263376,138,1,MK
10,12,gridshot,19186,SparData,2024-04-08T12:20:20,87.95181,790.4861473,76,83,1.21836817,73,1,CW
11,13,microshot,52297,SparData,2024-04-10T18:52:38,75.1243744,395.392182,152,201,2.52067041,151,2,MK
12,14,strafetrack,72016,TrackData,2024-04-10T18:54:02,55,250.125031,1320.00122,199.937454,551.9997,2424,2,MK
13,15,switchtrack,73281,TrackData,2024-04-10T18:55:20,33,123.221489,415.999725,257.493256,848.0003,2294,2,MK
14,16,gridshot,60621,SparData,2024-04-10T18:56:29,83.2618,304.128106,197,233,3.23843431,194,2,MK
